字段1,字段1_link,字段2,字段3,字段4,字段5,字段6
Head of Education - Davines,https://www.seek.co.nz/job/50542904?type=standout#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Beautiful Environment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Butcher,https://www.seek.co.nz/job/50514476?type=standout#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Foodstuffs North Island Ltd,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,classification: Trades & ServicesTrades & ServicessubClassification: ButchersButchers,"19d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ButchersButchers
Heavy Equipment/Diesel Mechanic,https://www.seek.co.nz/job/50446573?type=standout#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,AP Plant and Machinery,location: GisborneGisbornearea: GisborneGisborne,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Registered Plumber: Foreperson,https://www.seek.co.nz/job/50469680?type=standard#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,JT Plumbing Drainage and Gas,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers,"26d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers
Welder,https://www.seek.co.nz/job/50454587?type=standard#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Tradestaff,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: Welders & BoilermakersWelders & Boilermakers,"28d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Welders & BoilermakersWelders & Boilermakers
Hair Salon Apprentice,https://www.seek.co.nz/job/50439098?type=standard#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Vivo Salons LP,location: WellingtonWellingtonarea: Rest of Wellington RegionRest of Wellington Region,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"30d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
"Stylist, colourists and assistants",https://www.seek.co.nz/job/50470444?type=standout#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Hue Salons Limited,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"26d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Senior COF Certified Technician,https://www.seek.co.nz/job/50461179?type=standard#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Cambridge Heavy Testing,location: WaikatoWaikatoarea: Rest of WaikatoRest of Waikato,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"27d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
WHEEL ALIGNMENT / TYRE TECHNICIAN,https://www.seek.co.nz/job/50446403?type=standout#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Bayswater Vehicles Limited,location: Hawkes BayHawkes Bayarea: NapierNapier,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Certified Gas Fitter / Plumber,https://www.seek.co.nz/job/50446127?type=standard#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Aces Plumbing,"location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,$70,000 - $79,999",classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers,"29d ago,at","$70,000 - $79,999"
Industrial Electrician,https://www.seek.co.nz/job/50450822?type=standout#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,OneStaff Queenstown,location: OtagoOtagoarea: DunedinDunedin,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Pastry/Baker Chef,https://www.seek.co.nz/job/50461778?type=standard#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Bunco's Cafe,location: CanterburyCanterburyarea: North CanterburyNorth Canterbury,classification: Trades & ServicesTrades & ServicessubClassification: Bakers & Pastry ChefsBakers & Pastry Chefs,"27d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Bakers & Pastry ChefsBakers & Pastry Chefs
Plumber,https://www.seek.co.nz/job/50450877?type=standout#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,OneStaff Queenstown,location: OtagoOtagoarea: Queenstown & WanakaQueenstown & Wanaka,classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: PlumbersPlumbers
Senior HVAC Installer,https://www.seek.co.nz/job/50442263?type=standard#searchRequestToken=74270eb0-600e-4654-af41-6c7097987f21,Trak Group Limited,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration,"30d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration
"Telecommunications Technical Riggers, Technicians and Height Access Specialists",https://www.seek.co.nz/job/50454969?type=promoted#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Infratel Networks Ltd,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Field Service Technician - Biomedical Engineering,https://www.seek.co.nz/job/50574095?type=promoted#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,BV Medical,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
TAKE YOUR PASSION FOR WAX & BROWS TO THE NEXT LEVEL - AUCKLAND,https://www.seek.co.nz/job/50441282?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,OFF & ON,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"30d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Industrial Electrician,https://www.seek.co.nz/job/50450866?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,OneStaff Queenstown,location: OtagoOtagoarea: Queenstown & WanakaQueenstown & Wanaka,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Franchise Automotive Technician,https://www.seek.co.nz/job/50468393?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Automotive Employment (NZ) Ltd,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"26d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Senior Skin Therapist,https://www.seek.co.nz/job/50582801?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,About Face Auckland,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Heavy Diesel Mechanic - Field Service - Nelson,https://www.seek.co.nz/job/50477578?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,CER Recruitment,location: MarlboroughMarlborough,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"23d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Senior Refrigeration Technician,https://www.seek.co.nz/job/50511403?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Active Refrigeration,location: CanterburyCanterburyarea: Timaru & South CanterburyTimaru & South Canterbury,classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration,"19d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration
Senior Foreman,https://www.seek.co.nz/job/50461390?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Jora New Zealand,location: Hawkes BayHawkes Bayarea: HastingsHastings,classification: Trades & ServicesTrades & ServicessubClassification: OtherOther,"27d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: OtherOther
Estimator – Commercial & Residential Joinery,https://www.seek.co.nz/job/50468057?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"26d ago,at,Private Advertiser",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making
HAIRDRESSER SENIOR STYLIST or EXPERIENCED SENIOR COLOURIST,https://www.seek.co.nz/job/50564037?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,OLETTE Limited,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"8d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Refrigeration Mechanic/Electrician,https://www.seek.co.nz/job/50440690?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,IRS International Pty Ltd,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration,"30d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration
Baker/Pastry Chef,https://www.seek.co.nz/job/50454879?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,,location: AucklandAucklandarea: Papakura & FranklinPapakura & Franklin,classification: Trades & ServicesTrades & ServicessubClassification: Bakers & Pastry ChefsBakers & Pastry Chefs,"28d ago,at,Private Advertiser",classification: Trades & ServicesTrades & ServicessubClassification: Bakers & Pastry ChefsBakers & Pastry Chefs
Electrical Engineering (Pre Trade Electrician) Tutor,https://www.seek.co.nz/job/50439456?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Skills Update Training Institute,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"30d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Spa Therapist,https://www.seek.co.nz/job/50512199?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Gibbston Valley Wines,"location: OtagoOtagoarea: Queenstown & WanakaQueenstown & Wanaka,$20 - $24.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"19d ago,at",$20 - $24.99 per hour
Heavy Diesel Mechanic/ Service Technician,https://www.seek.co.nz/job/50469064?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Clark Equipment New Zealand Ltd,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"26d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Beauty Therapist,https://www.seek.co.nz/job/50509181?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Frenchie and Co,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"19d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
QUALIFIED ARBORIST,https://www.seek.co.nz/job/50439242?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Inkster Landscapes,"location: AucklandAuckland,$30 - $34.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"30d ago,at",$30 - $34.99 per hour
Salon Manager,https://www.seek.co.nz/job/50502011?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Jora New Zealand,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"20d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Fabricator/Welder - Heavy,https://www.seek.co.nz/job/50454280?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,6am Recruitment,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Welders & BoilermakersWelders & Boilermakers,"28d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Welders & BoilermakersWelders & Boilermakers
Skin Therapist-Part Time-North Shore,https://www.seek.co.nz/job/50520386?type=standout#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,About Face Auckland,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"16d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Beauty Therapist: - Exceptional Career Opportunity,https://www.seek.co.nz/job/50556933?type=standard#searchRequestToken=c9ef57c6-bd2e-43e0-980f-5dd95d1a3b6b,Sanctum Beauty Therapy & Spa,location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Machine Control Technician / Installer,https://www.seek.co.nz/job/50575181?type=promoted#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Synergy Positioning Ltd,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Service Technician,https://www.seek.co.nz/job/50503492?type=promoted#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,JAE Tasman,"location: TasmanTasmanarea: Rest of TasmanRest of Tasman,$50,000+ Plus van, phone, overtime rates etc",classification: Trades & ServicesTrades & ServicessubClassification: Cleaning ServicesCleaning Services,"Featured,at","$50,000+ Plus van, phone, overtime rates etc"
Heavy Diesel Mechanic- Hydraulics- Christchurch,https://www.seek.co.nz/job/50447047?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Stellar Recruitment,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Hair Stylist,https://www.seek.co.nz/job/50573728?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Vivo Salons LP,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"7d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Hair Stylist,https://www.seek.co.nz/job/50567055?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Vivo Salons LP,location: NorthlandNorthlandarea: WhangareiWhangarei,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"8d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Hair Stylist,https://www.seek.co.nz/job/50567015?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Vivo Salons LP,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"8d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Hair Stylist,https://www.seek.co.nz/job/50567126?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Vivo Salons LP,location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"8d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Automotive Electrician,https://www.seek.co.nz/job/50454510?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,OBDTECH NZ,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"28d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Heavy Diesel Mechanic,https://www.seek.co.nz/job/50446420?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,RobLawMax Recruitment,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades
Baker,https://www.seek.co.nz/job/50548009?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,PAK'nSAVE,location: Hawkes BayHawkes Bayarea: NapierNapier,classification: Trades & ServicesTrades & ServicessubClassification: Bakers & Pastry ChefsBakers & Pastry Chefs,"12d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Bakers & Pastry ChefsBakers & Pastry Chefs
Joinery DETAILER CAD Technician - TAURANGA,https://www.seek.co.nz/job/50440349?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,One21 - Recruitment Outsourcer,"location: Bay of PlentyBay of Plentyarea: TaurangaTauranga,Top Hourly rates commensurate with experience",classification: Trades & ServicesTrades & ServicessubClassification: Carpentry & Cabinet MakingCarpentry & Cabinet Making,"30d ago,at",Top Hourly rates commensurate with experience
Butchery Assistant Manager,https://www.seek.co.nz/job/50495421?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,PAK'nSAVE,location: Hawkes BayHawkes Bayarea: HastingsHastings,classification: Trades & ServicesTrades & ServicessubClassification: ButchersButchers,"21d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: ButchersButchers
Hairdresser,https://www.seek.co.nz/job/50603684?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Alchemy and i,"location: ManawatuManawatuarea: Palmerston NorthPalmerston North,$50,000 - $69,999 base plus commission",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"2d ago,at","$50,000 - $69,999 base plus commission"
Diesel Mechanic / Field Service Technician,https://www.seek.co.nz/job/50447746?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,CLAAS Harvest Centre,"location: NorthlandNorthlandarea: WhangareiWhangarei,Great salary package + benefits",classification: Trades & ServicesTrades & ServicessubClassification: Automotive TradesAutomotive Trades,"29d ago,at",Great salary package + benefits
SENIOR BEAUTY THERAPIST/COSMETIC TATTOOIST,https://www.seek.co.nz/job/50615412?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,The Beauty Chambers,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"1h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Senior Stylist,https://www.seek.co.nz/job/50607055?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Jora New Zealand,location: WaikatoWaikatoarea: HamiltonHamilton,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"1d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
HAIRDRESSER SENIOR COLORIST,https://www.seek.co.nz/job/50547294?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,marilyns,"location: AucklandAucklandarea: Auckland CentralAuckland Central,$20 - $29.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"12d ago,at",$20 - $29.99 per hour
Hair Stylist,https://www.seek.co.nz/job/50556547?type=standard#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Vivo Salons LP,location: Hawkes BayHawkes Bayarea: NapierNapier,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Refrigeration Service Engineer,https://www.seek.co.nz/job/50447722?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,FONKO NZ LTD,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration,"29d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Air Conditioning & RefrigerationAir Conditioning & Refrigeration
Beauty Therapist - Laser & Skin,https://www.seek.co.nz/job/50521576?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,The Cosmetic Clinic,location: AucklandAuckland,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"16d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Senior Hair Stylist & 2IC,https://www.seek.co.nz/job/50610656?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Vivo Salons LP,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"21h ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Senior Beauty Therapist,https://www.seek.co.nz/job/50524688?type=standout#searchRequestToken=2f0e2ba0-ed5b-403b-8adf-f59ad7215095,Invive Spa,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,$20 - $29.99 per hour",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"15d ago,at",$20 - $29.99 per hour
Glove and Barrier Line Mechanic,https://www.seek.co.nz/job/50470476?type=promoted#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,Broadspectrum (New Zealand) Limited,location: AucklandAucklandarea: Manukau & East AucklandManukau & East Auckland,classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians,"Featured,at",classification: Trades & ServicesTrades & ServicessubClassification: ElectriciansElectricians
Service Technician,https://www.seek.co.nz/job/50504637?type=promoted#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,,location: SouthlandSouthlandarea: InvercargillInvercargill,classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians,"Featured,at,Private Advertiser",classification: Trades & ServicesTrades & ServicessubClassification: TechniciansTechnicians
Hair Stylist,https://www.seek.co.nz/job/50560137?type=standout#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,Vivo Salons LP,location: CanterburyCanterburyarea: ChristchurchChristchurch,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"9d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Experienced Arborist,https://www.seek.co.nz/job/50439673?type=standout#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,OneStaff Nelson,location: TasmanTasmanarea: NelsonNelson,classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping,"30d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Gardening & LandscapingGardening & Landscaping
Sales & Program Coordinator - Hair & Beauty Business Owners,https://www.seek.co.nz/job/50525604?type=standard#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,Salon Owners Collective,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,$50,000 - $69,999 base plus commission",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"15d ago,at","$50,000 - $69,999 base plus commission"
Beauty Therapist - Life Pharmacy Dunedin,https://www.seek.co.nz/job/50581518?type=standout#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,Green Cross Health,location: OtagoOtagoarea: DunedinDunedin,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"6d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Experienced Therapist - Takapuna NZ,https://www.seek.co.nz/job/50496808?type=standout#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,Laser Clinics Australia,"location: AucklandAucklandarea: Rodney & North ShoreRodney & North Shore,Hourly rate + bonus + benefits",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"21d ago,at",Hourly rate + bonus + benefits
Hair Stylists starting from $27,https://www.seek.co.nz/job/50541076?type=standard#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,dazzling,"location: AucklandAucklandarea: Papakura & FranklinPapakura & Franklin,$35,000 - $49,999",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"13d ago,at","$35,000 - $49,999"
"Rodney Wayne Floor Manager, Stylist",https://www.seek.co.nz/job/50518634?type=standout#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,Rodney Wayne Limited,location: AucklandAucklandarea: Auckland CentralAuckland Central,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"16d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
Hair Stylist,https://www.seek.co.nz/job/50540200?type=standard#searchRequestToken=33ea5571-fb3a-4a8a-b2fb-33a504c24a00,Vivo Salons LP,location: AucklandAucklandarea: Waitakere & West AucklandWaitakere & West Auckland,classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services,"13d ago,at",classification: Trades & ServicesTrades & ServicessubClassification: Hair & Beauty ServicesHair & Beauty Services
